,Date,Open,High,Low,Close,Adj Close,Volume,Stock,Sentiment Score
0,2019-12-09,151.07000732421875,152.2100067138672,150.91000366210938,151.36000061035156,149.7733612060547,16687400,MSFT,0.41459648801831256
1,2019-12-10,151.2899932861328,151.88999938964844,150.75999450683594,151.1300048828125,149.54579162597656,16476100,MSFT,0.41459648801831256
2,2019-12-11,151.5399932861328,151.8699951171875,150.3300018310547,151.6999969482422,150.10977172851562,18856600,MSFT,0.41459648801831256
3,2019-12-12,151.64999389648438,153.44000244140625,151.02000427246094,153.24000549316406,151.6336669921875,24612100,MSFT,0.41459648801831256
4,2019-12-13,153.0,154.88999938964844,152.8300018310547,154.52999877929688,152.91012573242188,23845400,MSFT,0.41459648801831256
5,2019-12-16,155.11000061035156,155.89999389648438,154.82000732421875,155.52999877929688,153.89964294433594,24144200,MSFT,0.41459648801831256
6,2019-12-17,155.4499969482422,155.7100067138672,154.4499969482422,154.69000244140625,153.06845092773438,25425600,MSFT,0.41459648801831256
7,2019-12-18,154.3000030517578,155.47999572753906,154.17999267578125,154.3699951171875,152.75181579589844,24129200,MSFT,0.41459648801831256
8,2019-12-19,154.0,155.77000427246094,153.75,155.7100067138672,154.0777587890625,24958900,MSFT,0.41459648801831256
9,2019-12-20,157.35000610351562,158.49000549316406,156.2899932861328,157.41000366210938,155.75994873046875,53477500,MSFT,0.41459648801831256
10,2019-12-23,158.1199951171875,158.1199951171875,157.27000427246094,157.41000366210938,155.75994873046875,17718200,MSFT,0.41459648801831256
11,2019-12-24,157.47999572753906,157.7100067138672,157.1199951171875,157.3800048828125,155.73025512695312,8989200,MSFT,0.41459648801831256
12,2019-12-26,157.55999755859375,158.72999572753906,157.39999389648438,158.6699981689453,157.00672912597656,14520600,MSFT,0.41459648801831256
13,2019-12-27,159.4499969482422,159.5500030517578,158.22000122070312,158.9600067138672,157.29368591308594,18412800,MSFT,0.41459648801831256
14,2019-12-30,158.99000549316406,159.02000427246094,156.72999572753906,157.58999633789062,155.93804931640625,16348400,MSFT,0.4136394709348679
15,2019-12-31,156.77000427246094,157.77000427246094,156.4499969482422,157.6999969482422,156.04689025878906,18369400,MSFT,0.41459648801831256
16,2020-01-02,158.77999877929688,160.72999572753906,158.3300018310547,160.6199951171875,158.936279296875,22622100,MSFT,0.41459648801831256
